/,T,T,T,T,T,T,rankdice,rankdice,rankdice,rankdice,rankdice,rankdice
/,Dice,IoU,Dice,IoU,Dice,IoU,Dice,IoU,Dice,IoU,Dice,IoU
/,CE,CE,focal,focal,BCE,BCE,CE,CE,focal,focal,BCE,BCE
background,91.4,86.2,90.5,84.8,90.9,45.5,91.4,86.3,90.2,84.4,91.4,45.7
Aeroplane,71.2,63.4,68.4,59.2,72.9,36.5,71.3,63.4,72.7,64.1,75.3,37.6
Bicycle,37.1,25.9,19.6,12.4,14.6,7.3,38.7,27.3,30.5,20.6,23.1,11.5
Bird,76,68.2,74.3,65.2,74.2,37.1,76.6,68.7,75.8,66.4,76.3,38.1
Boat,51.1,42.7,59.5,49.1,55.5,27.8,51.3,42.9,61.9,51.5,61,30.5
Bottle,42.8,35.8,36.2,30,39.1,19.6,44.2,36.8,37.6,31.4,41.1,20.6
Bus,72.8,68.3,72.3,67.5,74.8,37.4,74.1,69.6,73.5,68.8,75.9,37.9
Car,53.5,47.5,51.1,45.6,48.9,24.4,55,49,53.6,47.9,51.7,25.9
Cat,75,69.2,74.1,67.9,73.1,36.6,75.5,69.7,75.4,68.7,75.1,37.6
Chair,17.5,12.8,16.7,11.6,10.2,5.1,19.6,14.4,22.2,16.1,14.5,7.3
Cow,65.3,58.6,60.1,53.7,64.9,32.4,66.5,59.9,62.3,56,68.4,34.2
Diningtable,32.9,27.5,33.6,27.4,31.7,15.9,34.5,29.2,38.6,32.4,35.3,17.6
Dog,64.6,57.9,71,63.4,71.7,35.9,65.5,58.7,72.5,64.9,74.4,37.2
Horse,63.9,55.3,67.3,58.3,67,33.5,65.3,56.6,69.5,60.1,70.9,35.4
Motorbike,69.7,60.6,65.5,56.7,66.9,33.5,71.6,62.6,67,57.9,70.1,35.1
Person,67,57.7,65,55.4,67.4,33.7,67.4,58.1,67.2,57.6,69.7,34.8
Pottedplant,26.9,20.2,22.4,17.3,25.5,12.8,29.1,22,26.9,20.7,28.6,14.3
Sheep,53.9,47.4,62.8,55.4,62.1,31.1,54.3,47.9,66,58.6,66.9,33.4
Sofa,29.8,25,29.8,24.4,33.7,16.8,32,26.9,34.6,29,38.9,19.4
Train,77.7,71,75.8,68.9,80.3,40.1,77.9,71.1,77.3,70.4,82.1,41.1
Tvmonitor,48.4,41.4,50.7,41.6,53.7,26.8,49.2,42,54.1,45.4,56.4,28.2
